CPU Load: 57.07% | Memory Usage: 29.91% | CPU Temperature: 61.25 °C
Uptime: up 25 minutes | CPU Load: 46.13% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 25 minutes | CPU Load: 42.18% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 25 minutes | CPU Load: 41.82% | Memory Usage: 31.00% | CPU Temperature: 56.66 °C
Uptime: up 25 minutes | CPU Load: 43.05% | Memory Usage: 31.05% | CPU Temperature: 57.77 °C
Uptime: up 25 minutes | CPU Load: 32.21% | Memory Usage: 31.05% | CPU Temperature: 57.77 °C
Uptime: up 25 minutes | CPU Load: 42.61% | Memory Usage: 31.05% | CPU Temperature: 57.22 °C
Uptime: up 25 minutes | CPU Load: 14.67% | Memory Usage: 31.05% | CPU Temperature: 53.33 °C
Uptime: up 25 minutes | CPU Load: 38.62% | Memory Usage: 31.36% | CPU Temperature: 53.88 °C
Uptime: up 25 minutes | CPU Load: 43.32% | Memory Usage: 31.36% | CPU Temperature: 55.55 °C
Uptime: up 25 minutes | CPU Load: 45.88% | Memory Usage: 31.36% | CPU Temperature: 54.44 °C
Uptime: up 25 minutes | CPU Load: 46.53% | Memory Usage: 31.36% | CPU Temperature: 56.66 °C
Uptime: up 25 minutes | CPU Load: 50.42% | Memory Usage: 31.36% | CPU Temperature: 56.66 °C
Uptime: up 25 minutes | CPU Load: 48.05% | Memory Usage: 31.42% | CPU Temperature: 56.11 °C
Uptime: up 25 minutes | CPU Load: 49.08% | Memory Usage: 31.36% | CPU Temperature: 56.11 °C
Uptime: up 25 minutes | CPU Load: 38.85% | Memory Usage: 31.42% | CPU Temperature: 57.22 °C
Uptime: up 25 minutes | CPU Load: 49.75% | Memory Usage: 31.36% | CPU Temperature: 57.22 °C
Uptime: up 25 minutes | CPU Load: 46.97% | Memory Usage: 31.36% | CPU Temperature: 55.55 °C
Uptime: up 25 minutes | CPU Load: 44.11% | Memory Usage: 31.42% | CPU Temperature: 57.77 °C
Uptime: up 25 minutes | CPU Load: 41.99% | Memory Usage: 31.42% | CPU Temperature: 56.66 °C
Uptime: up 25 minutes | CPU Load: 44.61% | Memory Usage: 31.42% | CPU Temperature: 56.66 °C
Uptime: up 25 minutes | CPU Load: 42.14% | Memory Usage: 31.42% | CPU Temperature: 56.66 °C
Uptime: up 25 minutes | CPU Load: 30.12% | Memory Usage: 31.36% | CPU Temperature: 56.66 °C
Uptime: up 25 minutes | CPU Load: 41.34% | Memory Usage: 31.31% | CPU Temperature: 57.77 °C
Uptime: up 25 minutes | CPU Load: 15.57% | Memory Usage: 31.42% | CPU Temperature: 53.88 °C
Uptime: up 25 minutes | CPU Load: 36.69% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 25 minutes | CPU Load: 42.57% | Memory Usage: 31.21% | CPU Temperature: 55.00 °C
Uptime: up 25 minutes | CPU Load: 49.49% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 25 minutes | CPU Load: 48.40% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 26 minutes | CPU Load: 51.18% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 26 minutes | CPU Load: 50.17% | Memory Usage: 31.47% | CPU Temperature: 55.55 °C
Uptime: up 26 minutes | CPU Load: 49.49% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 26 minutes | CPU Load: 38.45% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 26 minutes | CPU Load: 49.32% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 26 minutes | CPU Load: 50.08% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 26 minutes | CPU Load: 46.71% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 26 minutes | CPU Load: 48.39% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 26 minutes | CPU Load: 46.71% | Memory Usage: 31.16% | CPU Temperature: 57.22 °C
Uptime: up 26 minutes | CPU Load: 40.10% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 26 minutes | CPU Load: 33.39% | Memory Usage: 31.16% | CPU Temperature: 56.11 °C
Uptime: up 26 minutes | CPU Load: 32.77% | Memory Usage: 31.21% | CPU Temperature: 55.55 °C
Uptime: up 26 minutes | CPU Load: 22.18% | Memory Usage: 31.21% | CPU Temperature: 53.33 °C
Uptime: up 26 minutes | CPU Load: 37.63% | Memory Usage: 31.31% | CPU Temperature: 53.33 °C
Uptime: up 26 minutes | CPU Load: 40.67% | Memory Usage: 31.26% | CPU Temperature: 54.44 °C
Uptime: up 26 minutes | CPU Load: 55.08% | Memory Usage: 31.21% | CPU Temperature: 57.22 °C
Uptime: up 26 minutes | CPU Load: 47.29% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 26 minutes | CPU Load: 47.89% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 26 minutes | CPU Load: 45.87% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 26 minutes | CPU Load: 45.38% | Memory Usage: 31.26% | CPU Temperature: 58.33 °C
Uptime: up 26 minutes | CPU Load: 41.25% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 26 minutes | CPU Load: 47.38% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 26 minutes | CPU Load: 46.97% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 26 minutes | CPU Load: 45.56% | Memory Usage: 31.21% | CPU Temperature: 56.11 °C
Uptime: up 26 minutes | CPU Load: 44.24% | Memory Usage: 31.26% | CPU Temperature: 57.77 °C
Uptime: up 26 minutes | CPU Load: 44.03% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 26 minutes | CPU Load: 40.44% | Memory Usage: 31.26% | CPU Temperature: 57.22 °C
Uptime: up 27 minutes | CPU Load: 29.10% | Memory Usage: 31.21% | CPU Temperature: 57.22 °C
Uptime: up 27 minutes | CPU Load: 33.05% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 27 minutes | CPU Load: 26.10% | Memory Usage: 31.26% | CPU Temperature: 54.44 °C
Uptime: up 27 minutes | CPU Load: 36.53% | Memory Usage: 31.26% | CPU Temperature: 54.44 °C
Uptime: up 27 minutes | CPU Load: 38.92% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 27 minutes | CPU Load: 46.68% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 27 minutes | CPU Load: 45.90% | Memory Usage: 31.16% | CPU Temperature: 56.66 °C
Uptime: up 27 minutes | CPU Load: 48.65% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 27 minutes | CPU Load: 48.99% | Memory Usage: 31.21% | CPU Temperature: 56.11 °C
Uptime: up 27 minutes | CPU Load: 44.99% | Memory Usage: 31.16% | CPU Temperature: 56.66 °C
Uptime: up 27 minutes | CPU Load: 41.32% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 27 minutes | CPU Load: 47.80% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 27 minutes | CPU Load: 51.59% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 27 minutes | CPU Load: 45.69% | Memory Usage: 31.26% | CPU Temperature: 53.88 °C
Uptime: up 27 minutes | CPU Load: 47.90% | Memory Usage: 31.21% | CPU Temperature: 55.55 °C
Uptime: up 27 minutes | CPU Load: 47.13% | Memory Usage: 31.21% | CPU Temperature: 57.22 °C
Uptime: up 27 minutes | CPU Load: 43.65% | Memory Usage: 31.21% | CPU Temperature: 57.22 °C
Uptime: up 27 minutes | CPU Load: 33.78% | Memory Usage: 31.21% | CPU Temperature: 55.55 °C
Uptime: up 27 minutes | CPU Load: 32.15% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 27 minutes | CPU Load: 19.70% | Memory Usage: 31.21% | CPU Temperature: 53.88 °C
Uptime: up 27 minutes | CPU Load: 36.89% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 27 minutes | CPU Load: 39.33% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 27 minutes | CPU Load: 48.73% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 27 minutes | CPU Load: 43.94% | Memory Usage: 31.26% | CPU Temperature: 57.77 °C
Uptime: up 27 minutes | CPU Load: 47.73% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 27 minutes | CPU Load: 46.13% | Memory Usage: 31.31% | CPU Temperature: 57.22 °C
Uptime: up 27 minutes | CPU Load: 45.56% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 27 minutes | CPU Load: 45.33% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 28 minutes | CPU Load: 48.73% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 28 minutes | CPU Load: 49.58% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 28 minutes | CPU Load: 46.58% | Memory Usage: 31.21% | CPU Temperature: 55.55 °C
Uptime: up 28 minutes | CPU Load: 45.61% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 28 minutes | CPU Load: 44.52% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 28 minutes | CPU Load: 40.57% | Memory Usage: 31.21% | CPU Temperature: 57.77 °C
Uptime: up 28 minutes | CPU Load: 30.65% | Memory Usage: 31.21% | CPU Temperature: 55.55 °C
Uptime: up 28 minutes | CPU Load: 34.18% | Memory Usage: 31.21% | CPU Temperature: 55.55 °C
Uptime: up 28 minutes | CPU Load: 21.22% | Memory Usage: 31.21% | CPU Temperature: 53.33 °C
Uptime: up 28 minutes | CPU Load: 34.01% | Memory Usage: 31.31% | CPU Temperature: 55.00 °C
Uptime: up 28 minutes | CPU Load: 47.47% | Memory Usage: 31.31% | CPU Temperature: 55.55 °C
Uptime: up 28 minutes | CPU Load: 44.05% | Memory Usage: 31.21% | CPU Temperature: 56.11 °C
Uptime: up 28 minutes | CPU Load: 46.11% | Memory Usage: 31.21% | CPU Temperature: 57.22 °C
Uptime: up 28 minutes | CPU Load: 46.78% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 28 minutes | CPU Load: 46.63% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 28 minutes | CPU Load: 44.26% | Memory Usage: 31.36% | CPU Temperature: 56.11 °C
Uptime: up 28 minutes | CPU Load: 41.53% | Memory Usage: 31.26% | CPU Temperature: 58.33 °C
Uptime: up 28 minutes | CPU Load: 49.75% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 28 minutes | CPU Load: 53.46% | Memory Usage: 31.26% | CPU Temperature: 57.22 °C
Uptime: up 28 minutes | CPU Load: 42.40% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 28 minutes | CPU Load: 45.42% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 28 minutes | CPU Load: 39.03% | Memory Usage: 31.16% | CPU Temperature: 57.22 °C
Uptime: up 28 minutes | CPU Load: 37.65% | Memory Usage: 31.26% | CPU Temperature: 57.22 °C
Uptime: up 28 minutes | CPU Load: 31.36% | Memory Usage: 31.26% | CPU Temperature: 54.44 °C
Uptime: up 28 minutes | CPU Load: 29.01% | Memory Usage: 31.26% | CPU Temperature: 57.77 °C
Uptime: up 28 minutes | CPU Load: 19.66% | Memory Usage: 31.26% | CPU Temperature: 54.44 °C
Uptime: up 28 minutes | CPU Load: 35.36% | Memory Usage: 31.26% | CPU Temperature: 54.44 °C
Uptime: up 28 minutes | CPU Load: 49.92% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 29 minutes | CPU Load: 44.84% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 29 minutes | CPU Load: 59.36% | Memory Usage: 31.36% | CPU Temperature: 57.22 °C
Uptime: up 29 minutes | CPU Load: 49.07% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 29 minutes | CPU Load: 45.44% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 29 minutes | CPU Load: 39.02% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 29 minutes | CPU Load: 40.74% | Memory Usage: 31.31% | CPU Temperature: 57.22 °C
Uptime: up 29 minutes | CPU Load: 46.18% | Memory Usage: 31.26% | CPU Temperature: 57.77 °C
Uptime: up 29 minutes | CPU Load: 51.42% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 29 minutes | CPU Load: 44.03% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 29 minutes | CPU Load: 46.87% | Memory Usage: 31.21% | CPU Temperature: 56.11 °C
Uptime: up 29 minutes | CPU Load: 45.16% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 29 minutes | CPU Load: 39.26% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 29 minutes | CPU Load: 33.95% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 29 minutes | CPU Load: 33.45% | Memory Usage: 31.26% | CPU Temperature: 54.44 °C
Uptime: up 29 minutes | CPU Load: 21.32% | Memory Usage: 31.26% | CPU Temperature: 54.44 °C
Uptime: up 29 minutes | CPU Load: 42.11% | Memory Usage: 31.05% | CPU Temperature: 55.00 °C
Uptime: up 29 minutes | CPU Load: 49.32% | Memory Usage: 31.16% | CPU Temperature: 56.11 °C
Uptime: up 29 minutes | CPU Load: 47.14% | Memory Usage: 31.10% | CPU Temperature: 55.55 °C
Uptime: up 29 minutes | CPU Load: 50.25% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 29 minutes | CPU Load: 47.64% | Memory Usage: 31.05% | CPU Temperature: 55.55 °C
Uptime: up 29 minutes | CPU Load: 44.33% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 29 minutes | CPU Load: 39.56% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 29 minutes | CPU Load: 43.94% | Memory Usage: 31.05% | CPU Temperature: 56.11 °C
Uptime: up 29 minutes | CPU Load: 47.47% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 29 minutes | CPU Load: 50.68% | Memory Usage: 31.10% | CPU Temperature: 57.77 °C
Uptime: up 29 minutes | CPU Load: 44.30% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 29 minutes | CPU Load: 50.00% | Memory Usage: 31.05% | CPU Temperature: 55.55 °C
Uptime: up 30 minutes | CPU Load: 47.64% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 30 minutes | CPU Load: 34.80% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 30 minutes | CPU Load: 36.47% | Memory Usage: 31.10% | CPU Temperature: 55.55 °C
Uptime: up 30 minutes | CPU Load: 32.04% | Memory Usage: 31.10% | CPU Temperature: 55.55 °C
Uptime: up 30 minutes | CPU Load: 23.01% | Memory Usage: 31.10% | CPU Temperature: 54.44 °C
Uptime: up 30 minutes | CPU Load: 31.35% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 30 minutes | CPU Load: 45.75% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 30 minutes | CPU Load: 45.75% | Memory Usage: 31.05% | CPU Temperature: 56.11 °C
Uptime: up 30 minutes | CPU Load: 47.55% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 30 minutes | CPU Load: 48.91% | Memory Usage: 31.10% | CPU Temperature: 55.55 °C
Uptime: up 30 minutes | CPU Load: 44.22% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 30 minutes | CPU Load: 35.58% | Memory Usage: 31.05% | CPU Temperature: 57.22 °C
Uptime: up 30 minutes | CPU Load: 44.48% | Memory Usage: 31.10% | CPU Temperature: 55.00 °C
Uptime: up 30 minutes | CPU Load: 47.72% | Memory Usage: 31.05% | CPU Temperature: 57.22 °C
Uptime: up 30 minutes | CPU Load: 50.59% | Memory Usage: 31.00% | CPU Temperature: 58.33 °C
Uptime: up 30 minutes | CPU Load: 47.05% | Memory Usage: 31.05% | CPU Temperature: 55.55 °C
Uptime: up 30 minutes | CPU Load: 49.58% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 30 minutes | CPU Load: 45.62% | Memory Usage: 31.05% | CPU Temperature: 57.77 °C
Uptime: up 30 minutes | CPU Load: 39.46% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 30 minutes | CPU Load: 32.72% | Memory Usage: 31.05% | CPU Temperature: 55.55 °C
Uptime: up 30 minutes | CPU Load: 30.35% | Memory Usage: 31.05% | CPU Temperature: 55.00 °C
Uptime: up 30 minutes | CPU Load: 22.56% | Memory Usage: 31.10% | CPU Temperature: 54.44 °C
Uptime: up 30 minutes | CPU Load: 17.03% | Memory Usage: 27.99% | CPU Temperature: 54.44 °C
Uptime: up 30 minutes | CPU Load: 44.93% | Memory Usage: 31.05% | CPU Temperature: 55.55 °C
Uptime: up 30 minutes | CPU Load: 41.12% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 30 minutes | CPU Load: 49.92% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 30 minutes | CPU Load: 45.56% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 30 minutes | CPU Load: 45.58% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 31 minutes | CPU Load: 41.39% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 31 minutes | CPU Load: 47.05% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 31 minutes | CPU Load: 45.95% | Memory Usage: 31.10% | CPU Temperature: 57.77 °C
Uptime: up 31 minutes | CPU Load: 48.22% | Memory Usage: 31.05% | CPU Temperature: 57.22 °C
Uptime: up 31 minutes | CPU Load: 46.04% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 31 minutes | CPU Load: 50.93% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 31 minutes | CPU Load: 44.92% | Memory Usage: 31.05% | CPU Temperature: 56.11 °C
Uptime: up 31 minutes | CPU Load: 41.22% | Memory Usage: 31.05% | CPU Temperature: 56.11 °C
Uptime: up 31 minutes | CPU Load: 30.85% | Memory Usage: 31.05% | CPU Temperature: 55.00 °C
Uptime: up 31 minutes | CPU Load: 31.93% | Memory Usage: 31.10% | CPU Temperature: 55.55 °C
Uptime: up 31 minutes | CPU Load: 21.83% | Memory Usage: 31.10% | CPU Temperature: 55.00 °C
Uptime: up 31 minutes | CPU Load: 18.46% | Memory Usage: 28.36% | CPU Temperature: 53.88 °C
Uptime: up 31 minutes | CPU Load: 42.86% | Memory Usage: 31.21% | CPU Temperature: 55.00 °C
Uptime: up 31 minutes | CPU Load: 36.82% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 31 minutes | CPU Load: 48.32% | Memory Usage: 31.31% | CPU Temperature: 56.66 °C
Uptime: up 31 minutes | CPU Load: 54.97% | Memory Usage: 31.47% | CPU Temperature: 56.66 °C
Uptime: up 31 minutes | CPU Load: 45.45% | Memory Usage: 31.31% | CPU Temperature: 56.66 °C
Uptime: up 31 minutes | CPU Load: 38.66% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 31 minutes | CPU Load: 46.40% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 31 minutes | CPU Load: 47.47% | Memory Usage: 31.26% | CPU Temperature: 57.22 °C
Uptime: up 31 minutes | CPU Load: 44.09% | Memory Usage: 31.26% | CPU Temperature: 57.22 °C
Uptime: up 31 minutes | CPU Load: 45.53% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 31 minutes | CPU Load: 51.43% | Memory Usage: 31.16% | CPU Temperature: 56.66 °C
Uptime: up 31 minutes | CPU Load: 42.69% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 31 minutes | CPU Load: 44.82% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 31 minutes | CPU Load: 27.80% | Memory Usage: 31.21% | CPU Temperature: 54.44 °C
Uptime: up 31 minutes | CPU Load: 35.69% | Memory Usage: 31.31% | CPU Temperature: 55.00 °C
Uptime: up 32 minutes | CPU Load: 22.90% | Memory Usage: 31.31% | CPU Temperature: 53.88 °C
Uptime: up 32 minutes | CPU Load: 20.17% | Memory Usage: 28.62% | CPU Temperature: 53.88 °C
Uptime: up 32 minutes | CPU Load: 50.42% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 32 minutes | CPU Load: 43.84% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 32 minutes | CPU Load: 49.75% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 32 minutes | CPU Load: 43.24% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 32 minutes | CPU Load: 42.11% | Memory Usage: 31.26% | CPU Temperature: 57.22 °C
Uptime: up 32 minutes | CPU Load: 39.66% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 32 minutes | CPU Load: 45.95% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 32 minutes | CPU Load: 44.97% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 32 minutes | CPU Load: 48.91% | Memory Usage: 31.31% | CPU Temperature: 56.11 °C
Uptime: up 32 minutes | CPU Load: 45.96% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 32 minutes | CPU Load: 53.28% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 32 minutes | CPU Load: 45.52% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 32 minutes | CPU Load: 39.83% | Memory Usage: 31.21% | CPU Temperature: 54.44 °C
Uptime: up 32 minutes | CPU Load: 30.91% | Memory Usage: 31.26% | CPU Temperature: 53.33 °C
Uptime: up 32 minutes | CPU Load: 39.90% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 32 minutes | CPU Load: 25.63% | Memory Usage: 31.26% | CPU Temperature: 54.44 °C
Uptime: up 32 minutes | CPU Load: 14.41% | Memory Usage: 27.99% | CPU Temperature: 53.88 °C
Uptime: up 32 minutes | CPU Load: 40.57% | Memory Usage: 31.31% | CPU Temperature: 56.11 °C
Uptime: up 32 minutes | CPU Load: 39.86% | Memory Usage: 31.31% | CPU Temperature: 57.22 °C
Uptime: up 32 minutes | CPU Load: 47.81% | Memory Usage: 31.26% | CPU Temperature: 57.22 °C
Uptime: up 32 minutes | CPU Load: 43.34% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 32 minutes | CPU Load: 46.45% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 32 minutes | CPU Load: 38.36% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 32 minutes | CPU Load: 50.17% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 32 minutes | CPU Load: 43.24% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 32 minutes | CPU Load: 41.48% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 33 minutes | CPU Load: 46.78% | Memory Usage: 31.31% | CPU Temperature: 56.66 °C
Uptime: up 33 minutes | CPU Load: 52.78% | Memory Usage: 31.26% | CPU Temperature: 57.77 °C
Uptime: up 33 minutes | CPU Load: 43.10% | Memory Usage: 31.26% | CPU Temperature: 57.22 °C
Uptime: up 33 minutes | CPU Load: 45.85% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 33 minutes | CPU Load: 36.29% | Memory Usage: 31.26% | CPU Temperature: 53.88 °C
Uptime: up 33 minutes | CPU Load: 36.76% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 33 minutes | CPU Load: 26.69% | Memory Usage: 31.26% | CPU Temperature: 53.33 °C
Uptime: up 33 minutes | CPU Load: 12.01% | Memory Usage: 27.99% | CPU Temperature: 53.33 °C
Uptime: up 33 minutes | CPU Load: 41.32% | Memory Usage: 31.31% | CPU Temperature: 54.44 °C
Uptime: up 33 minutes | CPU Load: 33.84% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 33 minutes | CPU Load: 48.56% | Memory Usage: 31.26% | CPU Temperature: 57.22 °C
Uptime: up 33 minutes | CPU Load: 45.45% | Memory Usage: 31.31% | CPU Temperature: 55.55 °C
Uptime: up 33 minutes | CPU Load: 44.26% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 33 minutes | CPU Load: 38.55% | Memory Usage: 31.21% | CPU Temperature: 56.11 °C
Uptime: up 33 minutes | CPU Load: 48.07% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 33 minutes | CPU Load: 48.74% | Memory Usage: 31.42% | CPU Temperature: 57.22 °C
Uptime: up 33 minutes | CPU Load: 46.54% | Memory Usage: 31.26% | CPU Temperature: 57.77 °C
Uptime: up 33 minutes | CPU Load: 46.21% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 33 minutes | CPU Load: 52.87% | Memory Usage: 31.31% | CPU Temperature: 58.33 °C
Uptime: up 33 minutes | CPU Load: 46.31% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 33 minutes | CPU Load: 43.60% | Memory Usage: 31.31% | CPU Temperature: 55.55 °C
Uptime: up 33 minutes | CPU Load: 37.04% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 33 minutes | CPU Load: 40.07% | Memory Usage: 31.31% | CPU Temperature: 56.11 °C
Uptime: up 33 minutes | CPU Load: 27.47% | Memory Usage: 31.26% | CPU Temperature: 53.33 °C
Uptime: up 33 minutes | CPU Load: 12.27% | Memory Usage: 27.94% | CPU Temperature: 52.77 °C
Uptime: up 33 minutes | CPU Load: 40.30% | Memory Usage: 31.26% | CPU Temperature: 55.00 °C
Uptime: up 33 minutes | CPU Load: 33.11% | Memory Usage: 31.21% | CPU Temperature: 56.11 °C
Uptime: up 33 minutes | CPU Load: 48.24% | Memory Usage: 31.21% | CPU Temperature: 57.22 °C
Uptime: up 34 minutes | CPU Load: 44.86% | Memory Usage: 31.26% | CPU Temperature: 57.77 °C
Uptime: up 34 minutes | CPU Load: 53.46% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 34 minutes | CPU Load: 43.46% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 34 minutes | CPU Load: 47.39% | Memory Usage: 31.31% | CPU Temperature: 55.55 °C
Uptime: up 34 minutes | CPU Load: 45.81% | Memory Usage: 31.26% | CPU Temperature: 55.55 °C
Uptime: up 34 minutes | CPU Load: 47.73% | Memory Usage: 31.26% | CPU Temperature: 56.66 °C
Uptime: up 34 minutes | CPU Load: 45.33% | Memory Usage: 31.21% | CPU Temperature: 57.22 °C
Uptime: up 34 minutes | CPU Load: 55.37% | Memory Usage: 31.21% | CPU Temperature: 58.33 °C
Uptime: up 34 minutes | CPU Load: 42.98% | Memory Usage: 31.21% | CPU Temperature: 57.22 °C
